Breed,Weight,Chest,Neck,BootSize,Age,Activity,HarnessSize
Boxer,28.8,70.8,42.2,6,64.0,High,L
Boxer,30.8,67.6,41.5,3,55.0,Medium,L
Poodle,23.0,53.2,37.5,6,69.0,High,M
Boxer,29.4,70.8,37.8,6,26.0,Medium,L
Beagle,11.5,48.4,39.3,1,,High,S
Beagle,11.9,46.6,37.7,7,54.0,Medium,S
Rottweiler,53.5,81.9,51.1,4,62.0,Low,XL
Rottweiler,58.8,81.7,46.8,1,102.0,Medium,XL
German Shepherd,27.6,83.7,42.9,4,30.0,Low,XL
German Shepherd,,70.4,42.8,7,22.0,High,L
Golden Retriever,30.6,69.5,47.7,1,91.0,Medium,L
Beagle,10.6,45.6,32.9,7,7.0,Medium,S
Dachshund,14.5,41.4,26.6,4,101.0,Medium,S
Bulldog,18.2,58.4,40.4,3,67.0,High,M
Dachshund,8.5,49.2,26.8,7,97.0,Low,S
Golden Retriever,30.0,,48.8,5,85.0,Low,L
Rottweiler,49.1,87.3,45.8,2,38.0,High,XL
Dachshund,11.2,,28.3,3,84.0,Medium,S
German Shepherd,27.5,65.7,48.1,4,101.0,Medium,L
Boxer,25.3,69.1,35.4,7,59.0,Low,L
Chihuahua,3.6,26.5,25.0,5,31.0,High,XS
German Shepherd,36.9,73.4,47.0,1,65.0,High,L
Beagle,11.7,51.2,32.3,1,53.0,Low,M
Chihuahua,2.6,27.2,21.2,2,60.0,Low,XS
Poodle,24.4,49.5,38.5,3,48.0,High,S
Beagle,11.8,42.8,33.2,4,97.0,High,S
Poodle,15.2,50.5,35.9,2,118.0,High,M
Beagle,13.4,42.7,32.7,6,99.0,Medium,S
Boxer,29.9,65.2,39.9,1,57.0,High,L
Bulldog,22.0,68.2,40.0,4,106.0,High,L
Beagle,10.6,50.2,39.6,5,59.0,Low,M
Chihuahua,3.6,33.2,16.0,1,60.0,Low,XS
Bulldog,19.5,66.5,43.0,2,41.0,Medium,L
Poodle,22.3,53.4,32.3,2,115.0,High,M
German Shepherd,28.6,71.5,44.8,3,50.0,Low,L
Boxer,29.5,68.5,38.1,2,102.0,High,L
Beagle,12.0,52.5,31.3,2,16.0,High,M
Rottweiler,55.1,92.9,50.9,5,27.0,Low,XL
Beagle,11.6,54.7,34.8,3,10.0,High,M
Poodle,20.6,56.2,35.2,2,94.0,Medium,M
Rottweiler,58.8,259.79999999999995,48.0,5,39.0,Low,XL
Dachshund,7.3,35.1,27.6,7,75.0,Medium,S
German Shepherd,38.4,85.0,41.5,3,9.0,Medium,XL
Rottweiler,37.3,90.3,53.5,5,55.0,High,XL
Beagle,11.3,46.3,30.8,4,101.0,Low,S
Poodle,18.2,55.1,35.6,7,33.0,High,M
German Shepherd,30.8,82.9,45.1,7,54.0,Medium,XL
Beagle,13.3,44.8,33.0,3,50.0,Medium,S
Golden Retriever,26.0,71.4,41.5,6,,Low,L
Beagle,9.9,49.4,34.7,7,120.0,Medium,S
Bulldog,22.9,61.2,44.5,6,116.0,Medium,M
Rottweiler,50.9,91.1,53.7,3,23.0,Low,XL
German Shepherd,31.4,78.9,44.6,5,105.0,Low,L
Bulldog,24.6,66.5,44.1,5,85.0,Low,L
Rottweiler,43.2,89.2,48.6,3,44.0,High,XL
Labrador,29.7,83.5,48.7,7,79.0,High,XL
Golden Retriever,26.8,69.5,43.0,4,2.0,Medium,L
Beagle,11.6,54.3,33.8,2,96.0,Medium,M
Dachshund,10.1,49.0,28.7,3,97.0,High,S
Chihuahua,3.2,28.3,21.4,5,30.0,Medium,XS
Rottweiler,53.5,78.3,54.9,5,48.0,Medium,L
Boxer,28.5,62.3,38.7,7,71.0,High,M
Poodle,16.3,49.7,36.2,2,81.0,Medium,S
Labrador,31.2,70.3,44.0,1,117.0,Low,L
Golden Retriever,25.5,65.7,45.1,2,48.0,High,L
Beagle,13.9,45.4,33.9,2,2.0,High,S
Poodle,24.7,45.2,34.6,5,78.0,High,S
Bulldog,23.8,67.9,,1,30.0,Low,L
Rottweiler,39.2,89.1,57.9,4,78.0,High,XL
Rottweiler,39.6,88.1,52.7,2,65.0,Low,XL
Beagle,9.5,43.5,39.4,2,46.0,Low,S
Boxer,,65.7,42.3,7,104.0,Low,L
Labrador,169.5,67.6,47.6,1,116.0,Low,L
German Shepherd,37.5,75.6,51.6,6,99.0,Medium,L
Labrador,30.0,65.6,39.8,2,10.0,Medium,L
German Shepherd,38.6,65.5,42.9,6,38.0,Medium,L
Dachshund,8.3,48.8,28.3,3,4.0,High,S
Beagle,9.9,40.8,36.6,3,86.0,Medium,S
Beagle,13.5,42.9,32.2,2,31.0,High,S
Labrador,26.2,75.6,46.3,5,63.0,High,L
Rottweiler,44.3,97.2,51.3,5,49.0,Low,XL
Chihuahua,3.8,25.1,20.9,6,55.0,Medium,XS
Dachshund,12.8,43.4,27.2,1,30.0,Low,S
Rottweiler,54.1,92.6,49.3,3,16.0,Low,XL
Golden Retriever,31.4,79.1,43.8,7,9.0,High,L
Dachshund,7.6,47.9,34.5,5,38.0,Low,S
Chihuahua,3.0,34.1,20.8,2,39.0,Medium,XS
Beagle,11.9,40.5,38.6,5,51.0,Medium,S
German Shepherd,28.1,73.3,42.1,4,32.0,Medium,L
Labrador,31.2,71.3,38.2,6,21.0,High,L
Rottweiler,56.0,93.2,46.0,1,26.0,Low,XL
Dachshund,11.7,36.3,30.0,4,35.0,High,S
Golden Retriever,28.7,74.1,46.4,2,53.0,High,L
Chihuahua,2.9,27.8,15.1,5,74.0,High,XS
Bulldog,19.2,67.1,42.1,7,97.0,Medium,L
Chihuahua,3.4,32.2,23.8,4,93.0,Medium,XS
Beagle,11.2,40.9,38.3,2,32.0,Low,S
Poodle,15.2,51.5,31.7,1,51.0,Medium,M
Rottweiler,43.7,88.9,49.4,5,1.0,Medium,XL
Beagle,12.4,44.7,37.6,4,41.0,Medium,S
Bulldog,24.3,63.9,44.0,3,10.0,Medium,M
Golden Retriever,34.2,77.8,40.0,5,69.0,Low,L
Golden Retriever,28.3,67.8,45.2,7,54.0,Low,L
Rottweiler,57.0,79.3,49.4,6,99.0,Low,L
Golden Retriever,31.9,67.7,39.3,4,89.0,Low,L
Bulldog,23.4,63.6,42.2,4,40.0,Medium,M
Rottweiler,44.1,78.0,58.0,5,29.0,Low,L
Poodle,21.8,51.0,31.2,2,110.0,Medium,M
Bulldog,22.7,59.4,43.5,7,111.0,Medium,M
Boxer,30.9,61.3,41.8,7,38.0,Low,M
Dachshund,11.2,35.8,25.6,6,52.0,Medium,S
Rottweiler,42.9,90.6,59.5,7,9.0,Medium,XL
Bulldog,23.8,55.9,37.1,2,40.0,Medium,M
Golden Retriever,29.3,72.9,38.5,6,66.0,High,L
